Адыгея	Республика Адыгея	
Алтай	Республика Алтай	
Башкортостан	Республика Башкортостан	
Бурятия	Республика Бурятия	
Дагестан	Республика Дагестан	
Ингушетия	Республика Ингушетия	
Кабардино-Балкария	Республика Кабардино-Балкария	
Калмыкия	Республика Калмыкия	
Карачаево-Черкесия	Республика Карачаево-Черкесия	
Карелия	Республика Карелия	
Коми	Республика Коми	
Марий Эл	Республика Марий Эл	
Мордовия	Республика Мордовия	
Саха (Якутия)	Республика Саха (Якутия)	
Северная Осетия — Алания	Республика Северная Осетия — Алания	
Татарстан	Республика Татарстан	
Тыва (Тува)	Республика Тыва (Тува)	
Удмуртия	Республика Удмуртия	
Хакасия	Республика Хакасия	
Чечня	Республика Чечня	
Чувашия	Республика Чувашия	
Алтайский край	
Забайкальский край	
Камчатский край	
Краснодарский край	
Красноярский край	
Пермский край	
Приморский край	
Ставропольский край	
Хабаровский край	
Амурская область	
Архангельская область	
Астраханская область	
Белгородская область	
Брянская область	
Владимирская область	
Волгоградская область	
Вологодская область	
Воронежская область	
Ивановская область	
Иркутская область	
Калининградская область	
Калужская область	
Кемеровская область	
Кировская область	
Костромская область	
Курганская область	
Курская область	
Ленинградская область	
Липецкая область	
Магаданская область	
Московская область	
Мурманская область	
Нижегородская область	
Новгородская область	
Новосибирская область	
Омская область	
Оренбургская область	
Орловская область	
Пензенская область	
Псковская область	
Ростовская область	
Рязанская область	
Самарская область	
Саратовская область	
Сахалинская область	
Свердловская область	
Смоленская область	
Тамбовская область	
Тверская область	
Томская область	
Тульская область	
Тюменская область	
Ульяновская область	
Челябинская область	
Ярославская область	
Москва	Город Москва	
Санкт-Петербург	Город Санкт-Петербург	
Еврейская АО	Еврейская автономная область	
Ненецкий АО	Ненецкий автономный округ	
Ханты-Мансийский АО — Югра	Ханты-Мансийский автономный округ — Югра	
Чукотский АО	Чукотский автономный округ	
Ямало-Ненецкий АО	Ямало-Ненецкий автономный округ	
